Student ID,Category,variable,mastery_points
1035703,Core,D.2,0
1035703,Core,L.2a,2
1035703,Core,L.2b,2
1035703,Core,L.3a,1
1035703,Core,L.3b,1
1035703,Core,L.4,1
1035703,Core,L.5,0
1035703,Core,L.6a,2
1035703,Core,L.6b,1
1035703,Supplementary,L.1a*,1
1035703,Supplementary,L.1b*,3
1035703,Supplementary,L.5*,2
1035703,Supplementary,L.7*,0
1035703,Supplementary,L.8*,1
1036476,Core,D.1,1
1036476,Core,D.2,0
1036476,Core,L.2a,3
1036476,Core,L.2b,2
1036476,Core,L.3a,2
1036476,Core,L.3b,2
1036476,Core,L.4,3
1036476,Core,L.5,1
1036476,Core,L.6a,3
1036476,Core,L.6b,1
1036476,Supplementary,L.1a*,3
1036476,Supplementary,L.1b*,3
1036476,Supplementary,L.5*,2
1036476,Supplementary,L.7*,0
1036476,Supplementary,L.8*,2
1037820,Core,D.1,1
1037820,Core,D.2,1
1037820,Core,L.2a,1
1037820,Core,L.2b,1
1037820,Core,L.3a,1
1037820,Core,L.3b,0
1037820,Core,L.4,2
1037820,Core,L.5,1
1037820,Core,L.6a,1
1037820,Core,L.6b,0
1037820,Supplementary,L.1a*,1
1037820,Supplementary,L.1b*,1
1037820,Supplementary,L.5*,2
1037820,Supplementary,L.7*,0
1037820,Supplementary,L.8*,0
1038727,Core,D.1,0
1038727,Core,D.2,0
1038727,Core,L.2a,0
1038727,Core,L.2b,2
1038727,Core,L.3a,1
1038727,Core,L.3b,2
1038727,Core,L.4,1
1038727,Core,L.5,1
1038727,Core,L.6a,1
1038727,Core,L.6b,1
1038727,Supplementary,L.1a*,3
1038727,Supplementary,L.1b*,3
1038727,Supplementary,L.5*,1
1038727,Supplementary,L.7*,2
1038727,Supplementary,L.8*,1
1038829,Core,D.1,1
1038829,Core,D.2,1
1038829,Core,L.2a,3
1038829,Core,L.2b,3
1038829,Core,L.3a,3
1038829,Core,L.3b,2
1038829,Core,L.4,2
1038829,Core,L.5,1
1038829,Core,L.6a,2
1038829,Core,L.6b,2
1038829,Supplementary,L.1a*,2
1038829,Supplementary,L.1b*,3
1038829,Supplementary,L.5*,2
1038829,Supplementary,L.7*,1
1038829,Supplementary,L.8*,2
